input,labels,input_len,preprocessed
But my vocabulary was too small to make conversation interesting .,1,11,But my vocabulary wa too small to make conversation interesting .
Long time no see,0,4,Long time no see
She has always loved him .,0,6,She ha always loved him .
"The energy expenses can be calculated with the METs formula , which I will describe more in the next section .",1,21,"The energy expense can be calculated with the METs formula , which I will describe more in the next section ."
because today is on Saturday .,0,6,because today is on Saturday .
It is getting cold at night in Japan .,0,9,It is getting cold at night in Japan .
I am a very interesting in the culture in USA .,0,11,I am a very interesting in the culture in USA .
"I went there after long absence , but it did not change a bit .",0,15,"I went there after long absence , but it did not change a bit ."
"The other day , my friend of Lang asked me a gathering of his Lang friends .",0,17,"The other day , my friend of Lang asked me a gathering of his Lang friend ."
And as usual he was so exhausted .,0,8,And a usual he wa so exhausted .
It was so snowing and nobody went out .,1,9,It wa so snowing and nobody went out .
The time to decide,0,4,The time to decide
"Therefore , the author was sure to give the source of each of the quotations .",1,16,"Therefore , the author wa sure to give the source of each of the quotation ."
It is said that emberming was famous in America .,1,10,It is said that emberming wa famous in America .
I m a prospective employee,0,5,I m a prospective employee
Hi ,1,2,Hi 
I did not think that Japan won this .,0,9,I did not think that Japan won this .
How wonderful !,1,3,How wonderful !
Translate the following sentences into English .,1,7,Translate the following sentence into English .
"So , I was always greatly impressed with their messages and could get new expression .",0,16,"So , I wa always greatly impressed with their message and could get new expression ."
has some fruits .,0,4,ha some fruit .
And I learned the names of three streets .,1,9,And I learned the name of three street .
"Until one day evening , mother told me that father was written on the Shaoxing Evening Newspaper .",0,18,"Until one day evening , mother told me that father wa written on the Shaoxing Evening Newspaper ."
Another boring day at work with nothing much to do but harrassed !,0,13,Another boring day at work with nothing much to do but harrassed !
"It is her birthday is present , and very cute .",0,11,"It is her birthday is present , and very cute ."
It is very hard .,0,5,It is very hard .
There are so many parties in March .,1,8,There are so many party in March .
And it is very important to me .,0,8,And it is very important to me .
Nice to meet you !,0,5,Nice to meet you !
I want to be useful for something .,1,8,I want to be useful for something .
I Have to Apologize to the Germans,0,7,I Have to Apologize to the Germans
But fortunately I won the game .,0,7,But fortunately I won the game .
But no matter .,1,4,But no matter .
"Recently , I have not been working , studying or surfing the internet , but have been playing games and watching films in my dormitory .",0,26,"Recently , I have not been working , studying or surfing the internet , but have been playing game and watching film in my dormitory ."
I walked the path in nature and breathed deeply .,1,10,I walked the path in nature and breathed deeply .
i very stressed this .,0,5,i very stressed this .
"Last night , my laptop got crazy .",1,8,"Last night , my laptop got crazy ."
"Maybe we are far from each other , but we can communicate conveniently .",0,14,"Maybe we are far from each other , but we can communicate conveniently ."
It has not gotten on Lufthanza any longer .,0,9,It ha not gotten on Lufthanza any longer .
"The film was set in the spring - autumn and warring states periods in China , about years ago .",1,20,"The film wa set in the spring - autumn and warring state period in China , about year ago ."
"Cultural differences , again ?",1,5,"Cultural difference , again ?"
May I speak . ?,0,5,May I speak . ?
Japan lost the game to Paraguay .,0,7,Japan lost the game to Paraguay .
My English is so terrible .,0,6,My English is so terrible .
The Language school started today .,0,6,The Language school started today .
" This book is easy to get in my home country , so I do not have to order it from the country where it was published .",1,28," This book is easy to get in my home country , so I do not have to order it from the country where it wa published ."
"And I finally got to release the huge burden , when my teacher postponed the deadline .",1,17,"And I finally got to release the huge burden , when my teacher postponed the deadline ."
I always want to need someone is advice and help .,0,11,I always want to need someone is advice and help .
Is five years long ?Is it long enough to encounter with the people who will marry with me ?I think it is a big problem .,0,26,Is five year long ?Is it long enough to encounter with the people who will marry with me ?I think it is a big problem .
Today I suffered from toothpain .,0,6,Today I suffered from toothpain .
A day to remember ,0,5,A day to remember 
"At first nothing was on the desk , but only was a desktop computer .",0,15,"At first nothing wa on the desk , but only wa a desktop computer ."
Do not blame her for not feeling better .,1,9,Do not blame her for not feeling better .
"Although I would love to write about it , I do not have much time because I have to take my dog , and I also have an online lesson for today .",1,33,"Although I would love to write about it , I do not have much time because I have to take my dog , and I also have an online lesson for today ."
"So when I start eating some snacks , I eat it all .",1,13,"So when I start eating some snack , I eat it all ."
"I am excited for new life , but at the same time I feel nervous a little bit .",0,19,"I am excited for new life , but at the same time I feel nervous a little bit ."
"However , I m not sure exactly when she had puppies .",1,12,"However , I m not sure exactly when she had puppy ."
Why do my skills not glow up ?,1,8,Why do my skill not glow up ?
And I really want my Japanese keyboard ! . ,1,10,And I really want my Japanese keyboard ! . 
because I watchde no korean caption,0,6,because I watchde no korean caption
How many . ?,1,4,How many . ?
I wanted to play basketball but I was afraid of heat stroke .,1,13,I wanted to play basketball but I wa afraid of heat stroke .
"After reading the article , we are going to discuss this topic , so I am writing what I thought .",0,21,"After reading the article , we are going to discus this topic , so I am writing what I thought ."
My mother said Your teacher is right because she want you to be a better student .,0,17,My mother said Your teacher is right because she want you to be a better student .
I feel terrible .,0,4,I feel terrible .
I feel my foot very chilly .,0,7,I feel my foot very chilly .
This matter is just disagreeable .,1,6,This matter is just disagreeable .
Then I introduced myself .,1,5,Then I introduced myself .
"Even though I would read only the beginning parts of it , I was fascinated by it .",1,18,"Even though I would read only the beginning part of it , I wa fascinated by it ."
I m very careful with my duties every time .,1,10,I m very careful with my duty every time .
I hope that all of them would win .,0,9,I hope that all of them would win .
So I want to improve my English .,0,8,So I want to improve my English .
"There are a lot of coffee shops in Japan , especially in the city part .",1,16,"There are a lot of coffee shop in Japan , especially in the city part ."
More than - percent of the tiny organisms living in the rivers are nonnative .,1,15,More than - percent of the tiny organism living in the river are nonnative .
"detail doing taekwondo is good , waking up early is good",0,11,"detail doing taekwondo is good , waking up early is good"
She always gets along very politely .,1,7,She always get along very politely .
"Half an hour later , they came to connect a cable to charge the battery .",1,16,"Half an hour later , they came to connect a cable to charge the battery ."
"As for me , I always wash it every time after I wear it .",1,15,"As for me , I always wash it every time after I wear it ."
We were educated when we were born .,1,8,We were educated when we were born .
There are many different festivals in China .,0,8,There are many different festival in China .
An American swimmer attained gold medals .,1,7,An American swimmer attained gold medal .
" organizing training courses , conferences",1,6," organizing training course , conference"
Do you think so ?,0,5,Do you think so ?
It s also good for being on time because there is no chime in this school .,0,17,It s also good for being on time because there is no chime in this school .
fortune We could find a good house by good fortune .,0,11,fortune We could find a good house by good fortune .
"question Though the number of members was three , can I use the word party ?",1,16,"question Though the number of member wa three , can I use the word party ?"
" I mean , they had to memorize the paragraph at home .",0,13," I mean , they had to memorize the paragraph at home ."
I want to know the words of a song reason .,0,11,I want to know the word of a song reason .
collecting enormous materials related to rival intelligence or battlefield data .,1,11,collecting enormous material related to rival intelligence or battlefield data .
Thus let me introduce other stuffs about Cambodia trip .,0,10,Thus let me introduce other stuff about Cambodia trip .
It is like a practice .,1,6,It is like a practice .
I hope one day I can be able to play any songs with my flute .,0,16,I hope one day I can be able to play any song with my flute .
It is the most notherly cape in Japan .,0,9,It is the most notherly cape in Japan .
They already play Christmas music . ,0,7,They already play Christmas music . 
Summer vacation,1,2,Summer vacation
I want to see my parents .,0,7,I want to see my parent .
"First , I did not figure out what happened , but it made me more exsiting .",0,17,"First , I did not figure out what happened , but it made me more exsiting ."
Help me,0,2,Help me
I was disgusted with this clerk .,1,7,I wa disgusted with this clerk .
I respect her .,0,4,I respect her .
"Of course , it is comfortable for me .",1,9,"Of course , it is comfortable for me ."
"Anyway , his English is very comfortable to me .",0,10,"Anyway , his English is very comfortable to me ."
It was second time to go the Maldives ,0,9,It wa second time to go the Maldives 
This is my first diary .,1,6,This is my first diary .
I will show you some of my pictures .,1,9,I will show you some of my picture .
"Doing a little exercise every day so as not to develop health problems is something that all of us should consider Moreover , there are many opportunities for keeping fit such as fitness , taking part in different sport activities .",0,41,"Doing a little exercise every day so a not to develop health problem is something that all of u should consider Moreover , there are many opportunity for keeping fit such a fitness , taking part in different sport activity ."
The bear attack in Japan . Part ,1,8,The bear attack in Japan . Part 
Does it sound exaggerated ?,1,5,Does it sound exaggerated ?
"For I wish the author had written more about it , he wrote .",0,14,"For I wish the author had written more about it , he wrote ."
It is The family way written by Tony Peasons .,0,10,It is The family way written by Tony Peasons .
I do not have the talent like him .,1,9,I do not have the talent like him .
I knew that there were many people who were studying Japanese .,0,12,I knew that there were many people who were studying Japanese .
"My lab is on second floor but there are no restrooms on second floor , so I have to go to the first floor or third floor when I want to go to restroom .",0,35,"My lab is on second floor but there are no restroom on second floor , so I have to go to the first floor or third floor when I want to go to restroom ."
I am very tired these days .,1,7,I am very tired these day .
It does not suffice by one millimeter .,0,8,It doe not suffice by one millimeter .
Do they say Happy Tuesday if Wednesday is their holiday .,0,11,Do they say Happy Tuesday if Wednesday is their holiday .
"Due to my language restriction , I do not have capability for doing heavy workl",0,15,"Due to my language restriction , I do not have capability for doing heavy workl"
Not Joe King But King Joe .,0,7,Not Joe King But King Joe .
"I am not good at being cold , but that does not mean I am good at being hot .",0,20,"I am not good at being cold , but that doe not mean I am good at being hot ."
The S - A Center is a place where people who are studying a language can practice any skill they want .,0,22,The S - A Center is a place where people who are studying a language can practice any skill they want .
Food and power are shortages . Some places curb water purchases .,1,12,Food and power are shortage . Some place curb water purchase .
Should I go out with him ?,0,7,Should I go out with him ?
Five ants had lined up on the road .,0,9,Five ant had lined up on the road .
That is it .,0,4,That is it .
It was a golden week for almost one week here in Japan .,0,13,It wa a golden week for almost one week here in Japan .
Now I have time so I have been putting them away and disposing of them .,0,16,Now I have time so I have been putting them away and disposing of them .
We prepared dinner by ourselves .,0,6,We prepared dinner by ourselves .
sick of itlol,0,3,sick of itlol
and just go home,0,4,and just go home
I want to play again soon .,0,7,I want to play again soon .
I just registered right after I got to know this site,0,11,I just registered right after I got to know this site
"The people often have over weight , bad health and bad immune system .",0,14,"The people often have over weight , bad health and bad immune system ."
"Today , I will work at night shift .",0,9,"Today , I will work at night shift ."
"Still , I can not see my site .",0,9,"Still , I can not see my site ."
And I will take the speaking test in here at CNE on thursday .,0,14,And I will take the speaking test in here at CNE on thursday .
They almost do not speak Japanese .,1,7,They almost do not speak Japanese .
I am going home now to do a job .,1,10,I am going home now to do a job .
"but I need , really need .",0,7,"but I need , really need ."
"When I ca not speak English enough time , I become very nervous and anxious about maybe I wo not be able to speak English tomorrow .",0,27,"When I ca not speak English enough time , I become very nervous and anxious about maybe I wo not be able to speak English tomorrow ."
"Violent video games are considered to be worse than the violent scenes in TV programs or movies because video games need interaction , concentration , and players have to identify themselves with aggressors .",1,34,"Violent video game are considered to be worse than the violent scene in TV program or movie because video game need interaction , concentration , and player have to identify themselves with aggressor ."
"And A is near by our house , but B is far away from our house , and then of course it is more comfortable to go to A .",1,30,"And A is near by our house , but B is far away from our house , and then of course it is more comfortable to go to A ."
INTRODUCE MY COMPANY - URGENT,0,5,INTRODUCE MY COMPANY - URGENT
I am sure that I can get one of them in two days because I have already received a letter says they will come back again to give it to me .,0,32,I am sure that I can get one of them in two day because I have already received a letter say they will come back again to give it to me .
I am a high school student in Japan .,1,9,I am a high school student in Japan .
"Perhaps , you might say Do ask Wikipedia ! I know it might be the easiest way to know clearly , but I dare to ask you American because I really want to hear the voices of the raw opinions .",0,41,"Perhaps , you might say Do ask Wikipedia ! I know it might be the easiest way to know clearly , but I dare to ask you American because I really want to hear the voice of the raw opinion ."
"As I wrote in last diary , I went to see a fireworks in Sydney Harbour .",0,17,"As I wrote in last diary , I went to see a firework in Sydney Harbour ."
They do not understand but can speak .,1,8,They do not understand but can speak .
"Therefore , the few days around Christmas day are the hardest days of the year for me , almost every year .",1,22,"Therefore , the few day around Christmas day are the hardest day of the year for me , almost every year ."
"When I open the window , I can even smell it ! !",0,13,"When I open the window , I can even smell it ! !"
Chrono Trigger ,0,3,Chrono Trigger 
"But if he knew it , it would interfere with his ability to do so .",1,16,"But if he knew it , it would interfere with his ability to do so ."
He is American .,1,4,He is American .
When can I make my dream come true ?,1,9,When can I make my dream come true ?
That is why I stifully refused my boss is request to work !,1,13,That is why I stifully refused my bos is request to work !
"Tonight , I will go to watch a basketball game , Hannaryz vs Phoenix .",1,15,"Tonight , I will go to watch a basketball game , Hannaryz v Phoenix ."
He said The potential is huge .,0,7,He said The potential is huge .
"When the inclination prompts , I will write diary again .",0,11,"When the inclination prompt , I will write diary again ."
Nice to meet you ! !,0,6,Nice to meet you ! !
It is the judgment of the boss not to join .,1,11,It is the judgment of the bos not to join .
No problem and I use the computer only sometimes .,1,10,No problem and I use the computer only sometimes .
Easy mode is for primary school boys only .,1,9,Easy mode is for primary school boy only .
thank you .,0,3,thank you .
"Because of the class level , when a tutor teaches , she usually uses Korean .",1,16,"Because of the class level , when a tutor teach , she usually us Korean ."
"As you know , generally , Japanese people believe in Buddhism but they have a good time then .",1,19,"As you know , generally , Japanese people believe in Buddhism but they have a good time then ."
Probably I might change the bubble doll .,1,8,Probably I might change the bubble doll .
I am sure he loves playing with me and I enjoy playing with him .,1,15,I am sure he love playing with me and I enjoy playing with him .
Sleep talking,1,2,Sleep talking
very soon !,0,3,very soon !
"One day , he finds a cat on the street .",1,11,"One day , he find a cat on the street ."
"Before that , I have something to tell you .",0,10,"Before that , I have something to tell you ."
We ate some dishes .,1,5,We ate some dish .
"But after they release their eighteenth single which is one of the top five best - selling singles of in Japan , they became more and more popular .",0,29,"But after they release their eighteenth single which is one of the top five best - selling single of in Japan , they became more and more popular ."
I think .,1,3,I think .
 Explain why this particular variety of English is what you wish to master .,1,15, Explain why this particular variety of English is what you wish to master .
"When I was a little girl , my uncle is my good example , who is a Chinese teacher in the senior high school now .",0,26,"When I wa a little girl , my uncle is my good example , who is a Chinese teacher in the senior high school now ."
I had duck is blood as midnight snack with Barry .,1,11,I had duck is blood a midnight snack with Barry .
"We are currently running another series of experimental studies , and English native speakers are required .",1,17,"We are currently running another series of experimental study , and English native speaker are required ."
"Last year , I stayed two months for work .",1,10,"Last year , I stayed two month for work ."
Is only Japan like that strange festival symbol ?,1,9,Is only Japan like that strange festival symbol ?
So I think I try to write English dairy every day .,0,12,So I think I try to write English dairy every day .
"Also , if he works in the office , it is easy for him to display his talent to his boss , and he may get promotion .",0,28,"Also , if he work in the office , it is easy for him to display his talent to his bos , and he may get promotion ."
"Last , I caught a cold .",0,7,"Last , I caught a cold ."
Usually I use casually Japanese .,1,6,Usually I use casually Japanese .
So I can not have a holiday even I want to have a holiday .,0,15,So I can not have a holiday even I want to have a holiday .
"He said , ' Never ! ' I said ' If not , you ca not watch TV . ' .",0,21,"He said , ' Never ! ' I said ' If not , you ca not watch TV . ' ."
My curry .,0,3,My curry .
I have bad feeling .,0,5,I have bad feeling .
Most Japanese students start their English educations from these conversations .,1,11,Most Japanese student start their English education from these conversation .
The business was pyramid selling .,1,6,The business wa pyramid selling .
I want to play with my friends ! !,1,9,I want to play with my friend ! !
"were extremely expensive ! - - Eventually , I bought two lovely cups , some delicious chocolate and a warm neckerchief .",1,22,"were extremely expensive ! - - Eventually , I bought two lovely cup , some delicious chocolate and a warm neckerchief ."
I believe this time sitting in front of a desk instead of playing outside on my vacation would be an investment for my future .,1,25,I believe this time sitting in front of a desk instead of playing outside on my vacation would be an investment for my future .
I was angry .,1,4,I wa angry .
Massive earthquake,1,2,Massive earthquake
Today my topic is fast food .,1,7,Today my topic is fast food .
I watched the movie which was about Brazil .,0,9,I watched the movie which wa about Brazil .
"In contrast , the least wealthy country is India and Africa .",0,12,"In contrast , the least wealthy country is India and Africa ."
I hope I will focus on my goal and not give up before starting to learn it .,1,18,I hope I will focus on my goal and not give up before starting to learn it .
I lived with my grandmother when I was a child .,1,11,I lived with my grandmother when I wa a child .
A Going well !,1,4,A Going well !
"I was able to study English , and to grasp spoken English .",1,13,"I wa able to study English , and to grasp spoken English ."
One paper was written in words .,1,7,One paper wa written in word .
"I love reading books , comic and I love watching movie and cooking .",0,14,"I love reading book , comic and I love watching movie and cooking ."
"Girls , be Ambitious !",0,5,"Girls , be Ambitious !"
It was the first time I was present at this meeting .,0,12,It wa the first time I wa present at this meeting .
"i ate kimchi stew , and korea pizza ",0,9,"i ate kimchi stew , and korea pizza "
"After that , I just talked with some friends , waste of time again , oops !",0,17,"After that , I just talked with some friend , waste of time again , oops !"
"Last Tuesday I went to a friend is house because he had called me just to meet , drink something and talk about whatever .",1,25,"Last Tuesday I went to a friend is house because he had called me just to meet , drink something and talk about whatever ."
This is why to explain subtle differences in nuance between a Japanese sentence and an English sentence is very hard .,1,21,This is why to explain subtle difference in nuance between a Japanese sentence and an English sentence is very hard .
On the Internet ' friend .,1,6,On the Internet ' friend .
I hope that out English will be getting better and better .,0,12,I hope that out English will be getting better and better .
here you will see most moderest Hassan II mosque in arabic world .,0,13,here you will see most moderest Hassan II mosque in arabic world .
ROFL rolling on the floor laughing,1,6,ROFL rolling on the floor laughing
I write this article to check whether it can be written for the English Billboard .,1,16,I write this article to check whether it can be written for the English Billboard .
I enjoy the temperature of the four seasons .,1,9,I enjoy the temperature of the four season .
My son likes my curry .,1,6,My son like my curry .
But I worry about the Russian safety .,0,8,But I worry about the Russian safety .
A movie,0,2,A movie
"If you work in another country , does the company offer other welfare ?",1,14,"If you work in another country , doe the company offer other welfare ?"
Weekend is coming .,0,4,Weekend is coming .
I will undergo an inspection for the rd grade bookkeeping test in November .,1,14,I will undergo an inspection for the rd grade bookkeeping test in November .
One of my friends is an illustrator and she needs her English profile .,1,14,One of my friend is an illustrator and she need her English profile .
It would be difficult but I am sure that it will be worthy of trying .,0,16,It would be difficult but I am sure that it will be worthy of trying .
I have liked to see dramas since early childhood and not only Japanese drama but also foreign drama .,1,19,I have liked to see drama since early childhood and not only Japanese drama but also foreign drama .
Cheer up ,0,3,Cheer up 
"The most important thing is to let him know how to think , classify and connect about things .",1,19,"The most important thing is to let him know how to think , classify and connect about thing ."
And miso is classed as a warm food which can provide energy when you feel weak .,1,17,And miso is classed a a warm food which can provide energy when you feel weak .
"I am really mad at the staff at my daughter is daycare , ",1,14,"I am really mad at the staff at my daughter is daycare , "
"Fortunately , I did well till now .",0,8,"Fortunately , I did well till now ."
hi . what do i want ?,1,7,hi . what do i want ?
"So , I am getting nervous because I have prepared for this international program for the past months .",1,19,"So , I am getting nervous because I have prepared for this international program for the past month ."
"I guess , I will re - watch that drama .",0,11,"I guess , I will re - watch that drama ."
"I will do my best today , too .",1,9,"I will do my best today , too ."
"Following what he said , doing what he told me and completing what he ordered is the only thing I can do to repay him .",1,26,"Following what he said , doing what he told me and completing what he ordered is the only thing I can do to repay him ."
I want to go again .,0,6,I want to go again .
Teacher shoud to say complinent to his students .,0,9,Teacher shoud to say complinent to his student .
About Youko,0,2,About Youko
I think it could make good taste .,0,8,I think it could make good taste .
"The nerve which I have , that is all that matters .",1,12,"The nerve which I have , that is all that matter ."
My wife is a kindergarten teacher .,1,7,My wife is a kindergarten teacher .
It is necessary to take the university of the national and public .,1,13,It is necessary to take the university of the national and public .
"I hope tomorrow is a rainy day . , ",1,10,"I hope tomorrow is a rainy day . , "
I moved to a new house last month .,1,9,I moved to a new house last month .
"Earlier , spring came here just after March And now just on the st of March the weather has changed after such cold and dark days came spring days ",1,30,"Earlier , spring came here just after March And now just on the st of March the weather ha changed after such cold and dark day came spring day "
"Then , I went to school .",1,7,"Then , I went to school ."
I reflected on my saying .,0,6,I reflected on my saying .
I would like to add some sentences to my last journal Essential Friend . ,0,15,I would like to add some sentence to my last journal Essential Friend . 
How consumer searches and uses the information is also included in this field .,0,14,How consumer search and us the information is also included in this field .
"As I said above , telling a lie is necessary for us to get along with people .",1,18,"As I said above , telling a lie is necessary for u to get along with people ."
"I just want to say , a man who has a big influence on society , should act as he is expected to .",1,24,"I just want to say , a man who ha a big influence on society , should act a he is expected to ."
I went to a party .,0,6,I went to a party .
"Third , I am afraid of losing my dream .",1,10,"Third , I am afraid of losing my dream ."
I am writing an essay ,1,6,I am writing an essay 
I am belong to ballroom dancing club .,0,8,I am belong to ballroom dancing club .
"I think this is a real fight because both of them are real professionals in their majors , and their majors are totally opposite skills and technologies .",1,28,"I think this is a real fight because both of them are real professional in their major , and their major are totally opposite skill and technology ."
I sometimes agree with him .,1,6,I sometimes agree with him .
"A new fiscal year has just started today , st April !",1,12,"A new fiscal year ha just started today , st April !"
Thank you for reading .,0,5,Thank you for reading .
What kind of change will occur in both our appearance as well as our emotion ?,1,16,What kind of change will occur in both our appearance a well a our emotion ?
I am not excited .,0,5,I am not excited .
I went to bed at last night .,0,8,I went to bed at last night .
Today was my first experiment day as a healthy volunteer in the UK .,1,14,Today wa my first experiment day a a healthy volunteer in the UK .
"today i fonud the web - station which is useful , i do not want to write too much today because the exam is coming .",0,26,"today i fonud the web - station which is useful , i do not want to write too much today because the exam is coming ."
It is bad for my skin !,1,7,It is bad for my skin !
I want study English and make many friends around the world !,0,12,I want study English and make many friend around the world !
I want to go out without my heavy clothes .,0,10,I want to go out without my heavy clothes .
But one of my ALTs will go back to his country soon .,1,13,But one of my ALTs will go back to his country soon .
"Seeing the back experience note , I was interested in that they could have fulfilling life even though it was short and I can get scholarship .",0,27,"Seeing the back experience note , I wa interested in that they could have fulfilling life even though it wa short and I can get scholarship ."
My weak point is a lack of power of expression .,0,11,My weak point is a lack of power of expression .
Awesome songs !,0,3,Awesome song !
I am in the circle which makes silver accessories from the circle of a university .,1,16,I am in the circle which make silver accessory from the circle of a university .
I m not sure if it is useful or not .,1,11,I m not sure if it is useful or not .
I know I need some mentenance for the house .,0,10,I know I need some mentenance for the house .
Today is first day to go to school .,0,9,Today is first day to go to school .
I became a principal of flute part .,0,8,I became a principal of flute part .
 - It s ? strange and great feeling that hearing my diary byreal voice .,0,16, - It s ? strange and great feeling that hearing my diary byreal voice .
Finally I called the Lost and Found center in the train company .,1,13,Finally I called the Lost and Found center in the train company .
Sorry for my disappearance !,1,5,Sorry for my disappearance !
I am going to help farmer to learn organic agriculture .,0,11,I am going to help farmer to learn organic agriculture .
Prison Break,1,2,Prison Break
I am sleepy .,0,4,I am sleepy .
"I m so sad , because I could quit smoking for weeks .",1,13,"I m so sad , because I could quit smoking for week ."
"If you read someone is life story , you can experience the essence of other people is lives .",1,19,"If you read someone is life story , you can experience the essence of other people is life ."
I was disgusted with this clerk .,0,7,I wa disgusted with this clerk .
"Today , I had a stiff neck and headache .",1,10,"Today , I had a stiff neck and headache ."
Rest in peace .,1,4,Rest in peace .
Three years ago I went to America .,1,8,Three year ago I went to America .
I ca not write blogs entries due to my recent irregular schedule .,0,13,I ca not write blog entry due to my recent irregular schedule .
"If you read this book , I think you will understand the Japanese mind more .",1,16,"If you read this book , I think you will understand the Japanese mind more ."
Vision ,1,2,Vision 
He said that l do not have to be shy and just feel easy .,0,15,He said that l do not have to be shy and just feel easy .
but frankly .,0,3,but frankly .
"I have never seen a real gun even in America , so I was kind of shocked .",0,18,"I have never seen a real gun even in America , so I wa kind of shocked ."
I am just laughing that she is like a man .,1,11,I am just laughing that she is like a man .
It was not possible to move by crouching .,1,9,It wa not possible to move by crouching .
I have a plan to go to London ! !,1,10,I have a plan to go to London ! !
My husband and I go grocery shopping every weekend .,1,10,My husband and I go grocery shopping every weekend .
Radiators in the rooms is not warm .,0,8,Radiators in the room is not warm .
Only Black and White ! ! .,1,7,Only Black and White ! ! .
into the silent night .,1,5,into the silent night .
"With the aged - population keeping on increasing , maybe now we have good nursing homes , but besides NPOS , governments also have to pay more attention to this problem . How to take care of elderly people well will be necessary in the coming future .",1,48,"With the aged - population keeping on increasing , maybe now we have good nursing home , but besides NPOS , government also have to pay more attention to this problem . How to take care of elderly people well will be necessary in the coming future ."
The light is automatically on when I come close to it .,1,12,The light is automatically on when I come close to it .
A Western man needed an Eastern girl to stay alone and have space with him .,1,16,A Western man needed an Eastern girl to stay alone and have space with him .
And normally we put chicken instead of pork or beef and many more vegetables into the soup .,1,18,And normally we put chicken instead of pork or beef and many more vegetable into the soup .
I hope they like my desert ! !,0,8,I hope they like my desert ! !
I went to see Firefly on this stream yesterday .,1,10,I went to see Firefly on this stream yesterday .
"Sometime , this makes a war between wife and mother .",0,11,"Sometime , this make a war between wife and mother ."
"In the same way , if you travel abroad , you do nt know how to say their language , they will say English to you , and so many people know English for their jobs .",1,37,"In the same way , if you travel abroad , you do nt know how to say their language , they will say English to you , and so many people know English for their job ."
We drove for about hours .,1,6,We drove for about hour .
I studied hard but I had a great time when I went to skiing at winter time .,0,18,I studied hard but I had a great time when I went to skiing at winter time .
"Although I do not think my classmates are furious about that , I felt very sorry for my mistake .",1,20,"Although I do not think my classmate are furious about that , I felt very sorry for my mistake ."
I hope that I will see you in Boston next year .,1,12,I hope that I will see you in Boston next year .
we always go to there by car .,0,8,we always go to there by car .
Becase its hard to express word .,0,7,Becase it hard to express word .
 There is a lot of opportunity to study Language ! ! ,0,13, There is a lot of opportunity to study Language ! ! 
after denial by the Upper House .,0,7,after denial by the Upper House .
She asked him if he attended the training from .,1,10,She asked him if he attended the training from .
I hope that you can solve the problem wisely .,1,10,I hope that you can solve the problem wisely .
"I was really interested in her and , I wanted to talk with her in English .",0,17,"I wa really interested in her and , I wanted to talk with her in English ."
I ca not wait to communicate friends who live in other countries .,0,13,I ca not wait to communicate friend who live in other country .
Hold me tightly should be used ?,1,7,Hold me tightly should be used ?
Correction wrongs in RED,1,4,Correction wrong in RED
Make advantage of my leadership and distribute the works to my coworkers .,0,13,Make advantage of my leadership and distribute the work to my coworkers .
What do you think about the IPad ?,0,8,What do you think about the IPad ?
"At that time , French music and Italian music were so different .",1,13,"At that time , French music and Italian music were so different ."
That is all .,0,4,That is all .
"However , I must make a dream reality .",0,9,"However , I must make a dream reality ."
" I would like to go to beach , but I have to work .",0,15," I would like to go to beach , but I have to work ."
I guess better select is a effective Solar power .,0,10,I guess better select is a effective Solar power .
"so , if i have free times i concern stock market information .",0,13,"so , if i have free time i concern stock market information ."
I haven ' t known it yet .,0,8,I haven ' t known it yet .
They are doing their best in new life here in America .,0,12,They are doing their best in new life here in America .
"After dinner , I watched ' Rush Hour ' in the movie room .",1,14,"After dinner , I watched ' Rush Hour ' in the movie room ."
It is very simple to cook .,0,7,It is very simple to cook .
This game uses a playing card and plays with two partnerships of two players .,1,15,This game us a playing card and play with two partnership of two player .
Today is Lesson,0,3,Today is Lesson
Please regard it as compliment and admiration .,0,8,Please regard it a compliment and admiration .
I have been called by my university colleague for a long time .,1,13,I have been called by my university colleague for a long time .
My mail,1,2,My mail
And I thought the sight of town was similar the my town .,0,13,And I thought the sight of town wa similar the my town .
"I was so nervous to speak in front of many people , ",1,13,"I wa so nervous to speak in front of many people , "
I like sports !,1,4,I like sport !
"a will visit , b am going to visit , c visit , d am visiting .",1,17,"a will visit , b am going to visit , c visit , d am visiting ."
Foreign language,1,2,Foreign language
I hope you enjoy it .,1,6,I hope you enjoy it .
I wasted time worrying about myself .,1,7,I wasted time worrying about myself .
It felt very scare and little happy .,0,8,It felt very scare and little happy .
All of them are beautiful .,0,6,All of them are beautiful .
"On the other hand , oppositions might argue for those two reasons .",1,13,"On the other hand , opposition might argue for those two reason ."
Do you have the same kind of habit of hanging out on a futon in your country ?,1,18,Do you have the same kind of habit of hanging out on a futon in your country ?
I will go to Haeundae in Busan .,1,8,I will go to Haeundae in Busan .
"My plan for today was to go shopping , but due to the crazy windy day , I gave up .",1,21,"My plan for today wa to go shopping , but due to the crazy windy day , I gave up ."
What about Skype ?,0,4,What about Skype ?
I want to can swim the breaststroke .,0,8,I want to can swim the breaststroke .
i am confused,0,3,i am confused
I was so sleepy this morning when I was reading English beside the library .,0,15,I wa so sleepy this morning when I wa reading English beside the library .
I mean you often ate cotton candy when you were a child .,1,13,I mean you often ate cotton candy when you were a child .
Many girl likes sweets .,0,5,Many girl like sweet .
Favorite smell . ,0,4,Favorite smell . 
" By the way , I tried to play the same but I can survive only sec .",0,18," By the way , I tried to play the same but I can survive only sec ."
